350 Year Unified ENSO Proxy Reconstruction
-----------------------------------------------------------------------
               World Data Center for Paleoclimatology, Boulder
                                  and
                     NOAA Paleoclimatology Program
-----------------------------------------------------------------------
NOTE: PLEASE CITE ORIGINAL REFERENCE WHEN USING THIS DATA!!!!!


NAME OF DATA SET: 350 Year Unified ENSO Proxy Reconstruction 

LAST UPDATE: 7/2010 (Addition of scaled UEP series, 
see description below. Original receipt by WDC Paleo 1/2010) 

CONTRIBUTORS: McGregor, S., A. Timmermann, and O. Timm 
IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2010-015 

WDC PALEO CONTRIBUTION SERIES CITATION: 
McGregor, S., et al. 2010. 
350 Year Unified ENSO Proxy Reconstruction. 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series # 2010-015. 
NOAA/NCDC Paleoclimatology Program, Boulder CO, USA. 


ORIGINAL REFERENCE: 
McGregor, S., A. Timmermann, and O. Timm. 2010. 
A unified proxy for ENSO and PDO variability since 1650. 
Climate of the Past, Vol. 6, pp. 1-17. 
www.clim-past.net/6/1/2010/

ABSTRACT:  
In this manuscript we have attempted to consolidate the common signal 
in previously defined proxy reconstructions of the El Nino-Southern 
Oscillation into one individual proxy titled the Unified ENSO Proxy (UEP). 
While correlating well with the majority of input reconstructions,
the UEP provides better representation of observed indices of ENSO, 
discrete ENSO events and documented historical chronologies of ENSO 
than any of these input ENSO reconstructions.  Further to this, 
the UEP also provides a means to reconstruct the PDO/IPO multi-decadal 
variability of the Pacific Ocean as the low-pass filtered UEP displays 
multidecadal variability that is consistent with the 20th century
variability of the PDO and IPO. The UEP is then used to describe changes 
in ENSO variability which have occurred since 1650 focusing on changes 
in ENSOs variance, multiyear ENSO events, PDO-like multi-decadal 
variability and the effects of volcanic and solar forcing on ENSO. 
We find that multi-year El Nino events similar to the 1990–1995 event
have occurred several times over the last 3 1/2 centuries.
Consistent with earlier studies we find that volcanic forcing 
can induce a statistically significant change in the mean state
of ENSO in the year of the eruption and a doubling of the probability 
of an El Nino (La Nina) event occurring in the year of (three years after) 
the eruption.


GEOGRAPHIC REGION: Pacific Ocean
PERIOD OF RECORD: 1650 - 1977 AD

FUNDING SOURCES:  
US National Oceanic and Atmospheric Administration (NOAA) CCDD program, 
grant number NA08OARH320910. 


DESCRIPTION:   
Unified ENSO Proxy combining ENSO and PDO/IPO Pacific climate variability.  
10 commonly used ENSO proxies (Dunbar et al., 1994; Stahle et al., 1998; 
Cook, 2000; Mann et al., 2000; Evans et al., 2001, 2002; Cobb et al., 2003; 
Cook et al., 2008; Braganza et al., 2009) are consolidated via 
Principal Component Analysis (PCA) into a unified ENSO proxy (UEP) 
that captures the joint features of these reconstructions.

A second scaled UEP column was added to this file in July 2010. 
The scaled column has 20th century variability scaled to match 
the variability of hadSST nino 3 region SSTA. 


DATA: 
Year         UEP       Scaled UEP
1650       0.344       0.168
1651       1.254       0.613
1652       0.692       0.338
1653      -0.599      -0.294
1654      -0.596      -0.293
1655       0.164       0.079
1656       1.027       0.501
1657       0.171       0.083
1658       0.463       0.225
1659      -0.025      -0.013
1660       0.199       0.096
1661       0.562       0.274
1662       0.131       0.063
1663      -0.375      -0.184
1664      -0.980      -0.480
1665      -0.421      -0.207
1666      -0.250      -0.123
1667      -0.249      -0.123
1668      -0.534      -0.262
1669      -0.269      -0.133
1670      -0.284      -0.140
1671       0.403       0.196
1672      -0.354      -0.174
1673      -0.237      -0.117
1674       0.611       0.298
1675      -0.118      -0.059
1676      -0.732      -0.359
1677       0.415       0.202
1678      -0.263      -0.130
1679      -0.617      -0.303
1680       0.183       0.088
1681       0.269       0.131
1682       0.740       0.361
1683       0.195       0.095
1684      -0.102      -0.051
1685      -1.134      -0.556
1686       0.266       0.129
1687       0.985       0.481
1688       0.200       0.097
1689       0.559       0.272
1690       0.367       0.179
1691      -0.051      -0.026
1692       0.622       0.303
1693       0.480       0.234
1694       0.673       0.328
1695       1.038       0.507
1696      -1.086      -0.532
1697      -0.528      -0.259
1698      -1.101      -0.539
1699      -0.220      -0.109
1700      -0.012      -0.007
1701       0.425       0.207
1702       0.260       0.126
1703      -0.717      -0.352
1704      -0.695      -0.341
1705      -0.501      -0.246
1706      -0.033      -0.017
1707      -0.554      -0.272
1708      -0.043      -0.022
1709      -0.537      -0.264
1710       1.122       0.548
1711       0.201       0.098
1712       0.522       0.255
1713       0.519       0.253
1714      -0.104      -0.052
1715      -0.782      -0.383
1716      -1.196      -0.586
1717      -0.534      -0.262
1718       0.986       0.481
1719       0.691       0.337
1720       0.636       0.310
1721       0.844       0.412
1722       0.592       0.288
1723       1.409       0.688
1724       0.224       0.109
1725      -1.228      -0.602
1726       1.327       0.648
1727       1.086       0.530
1728      -0.483      -0.237
1729      -0.570      -0.280
1730      -0.603      -0.296
1731      -0.373      -0.183
1732      -0.418      -0.205
1733      -1.500      -0.735
1734       0.068       0.032
1735      -0.043      -0.022
1736       0.247       0.120
1737       0.923       0.451
1738       1.118       0.546
1739      -0.660      -0.324
1740       0.000      -0.001
1741       0.224       0.109
1742      -1.600      -0.784
1743      -0.513      -0.252
1744       0.262       0.127
1745       1.135       0.554
1746       1.578       0.771
1747       1.806       0.882
1748      -0.996      -0.488
1749       1.096       0.535
1750       0.719       0.351
1751       0.287       0.139
1752      -1.884      -0.923
1753      -1.153      -0.565
1754      -0.739      -0.363
1755      -1.052      -0.516
1756      -0.211      -0.104
1757      -1.700      -0.833
1758      -0.625      -0.307
1759       0.421       0.205
1760       0.053       0.025
1761      -0.830      -0.407
1762       0.539       0.263
1763      -0.772      -0.379
1764      -0.063      -0.032
1765      -0.268      -0.132
1766       0.675       0.329
1767       0.395       0.192
1768      -0.070      -0.035
1769       0.327       0.159
