"Year";"Target ENSO index (ERSSTv4 Nino3.4, SST °C, anomalies wrt to 1981-2010)";"Full Period PC1 (Patched)";"Full Period PC1 upper CI";"Full Period PC1 lower CI";"Full Period PC1 31-year filtered";"Full Period PC1 31-year filtered upper CI";"Full Period PC1 31-year filtered lower CI"
1000;NA;-0.1191;1.2191;-1.4572;0.517;1.0979;-0.0511
1001;NA;-0.4158;0.9223;-1.754;0.5571;1.1345;-0.0145
1002;NA;1.0134;2.3515;-0.3248;0.5864;1.1616;0.0127
1003;NA;1.7161;3.0542;0.3779;0.6044;1.1789;0.0299
1004;NA;1.151;2.4892;-0.1871;0.6128;1.1871;0.0382
1005;NA;0.4915;1.8297;-0.8466;0.6134;1.1872;0.0383
1006;NA;0.8709;2.209;-0.4673;0.6056;1.1788;0.0298
1007;NA;1.7494;3.0875;0.4112;0.589;1.1608;0.0118
1008;NA;0.8732;2.2114;-0.465;0.563;1.1327;-0.0163
1009;NA;0.693;2.0312;-0.6451;0.5278;1.0951;-0.0538
1010;NA;-0.903;0.4352;-2.2412;0.4837;1.0488;-0.1002
1011;NA;-0.9629;0.3753;-2.3011;0.431;0.9942;-0.1548
1012;NA;0.322;1.6602;-1.0161;0.3612;0.9319;-0.217
1013;NA;-0.4434;0.8947;-1.7816;0.2736;0.856;-0.293
1014;NA;-0.0234;1.3148;-1.3616;0.1798;0.7645;-0.3845
1015;NA;0.4267;1.7649;-0.9114;0.0914;0.6647;-0.4843
1016;NA;0.8328;2.171;-0.5053;-0.0048;0.5637;-0.5853
1017;NA;-0.1354;1.2028;-1.4735;-0.1167;0.4686;-0.6803
1018;NA;1.4074;2.7455;0.0692;-0.2238;0.3867;-0.7623
1019;NA;0.4494;1.7876;-0.8887;-0.3061;0.3025;-0.8465
1020;NA;-0.9088;0.4293;-2.247;-0.3906;0.2038;-0.9452
1021;NA;-0.9562;0.3819;-2.2944;-0.497;0.1025;-1.0465
1022;NA;-1.1455;0.1926;-2.4837;-0.5938;0.0103;-1.1387
1023;NA;-0.1251;1.2131;-1.4633;-0.6496;-0.061;-1.2099
1024;NA;-1.3477;-0.0095;-2.6859;-0.6561;-0.0995;-1.2485
1025;NA;-1.3853;-0.0471;-2.7234;-0.6378;-0.0902;-1.2391
1026;NA;-1.6403;-0.3021;-2.9784;-0.6122;-0.0447;-1.1936
1027;NA;-1.465;-0.1268;-2.8032;-0.5965;0.0087;-1.1403
1028;NA;-1.0127;0.3254;-2.3509;-0.544;0.0414;-1.1076
1029;NA;0.9002;2.2384;-0.4379;-0.447;0.0992;-1.0497
1030;NA;1.2655;2.6037;-0.0726;-0.3815;0.198;-0.951
1031;NA;0.8476;2.1858;-0.4905;-0.3404;0.2644;-0.8845
1032;NA;-0.2317;1.1065;-1.5698;-0.2814;0.2796;-0.8694
1033;NA;0.0206;1.3587;-1.3176;-0.2273;0.277;-0.872
1034;NA;-1.007;0.3312;-2.3451;-0.2008;0.2618;-0.8872
1035;NA;-0.1143;1.2239;-1.4524;-0.2375;0.2392;-0.9097
1036;NA;-1.8524;-0.5143;-3.1906;-0.3266;0.2146;-0.9343
1037;NA;-0.7575;0.5807;-2.0957;-0.4218;0.1932;-0.9558
1038;NA;-0.0131;1.3251;-1.3512;-0.4766;0.168;-0.9809
1039;NA;-0.0214;1.3167;-1.3596;-0.5027;0.1344;-1.0145
1040;NA;-0.6222;0.716;-1.9604;-0.5334;0.1006;-1.0484
1041;NA;-0.681;0.6572;-2.0192;-0.5549;0.0747;-1.0743
1042;NA;-0.3783;0.9599;-1.7164;-0.5535;0.065;-1.084
1043;NA;0.4733;1.8114;-0.8649;-0.5175;0.0797;-1.0692
1044;NA;-0.7574;0.5808;-2.0956;-0.4559;0.1184;-1.0306
1045;NA;-1.493;-0.1549;-2.8312;-0.386;0.1716;-0.9774
1046;NA;-1.0941;0.2441;-2.4322;-0.3251;0.2344;-0.9146
1047;NA;0.4645;1.8026;-0.8737;-0.266;0.3018;-0.8471
1048;NA;0.0272;1.3654;-1.3109;-0.1956;0.369;-0.78
1049;NA;0.6494;1.9876;-0.6887;-0.1234;0.4308;-0.7181
1050;NA;-0.4949;0.8433;-1.8331;-0.0586;0.5109;-0.6381
1051;NA;-0.144;1.1942;-1.4822;0.0219;0.6169;-0.532
1052;NA;-0.5516;0.7866;-1.8897;0.1276;0.7206;-0.4284
1053;NA;0.6725;2.0107;-0.6656;0.2284;0.7934;-0.3556
1054;NA;0.3739;1.712;-0.9643;0.2946;0.8568;-0.2922
1055;NA;0.0565;1.3946;-1.2817;0.3345;0.9271;-0.2219
1056;NA;0.9333;2.2715;-0.4049;0.3702;0.9679;-0.181
1057;NA;0.4852;1.8234;-0.8529;0.3926;0.9681;-0.1809
1058;NA;0.234;1.5721;-1.1042;0.3921;0.9444;-0.2046
1059;NA;0.251;1.5891;-1.0872;0.3576;0.9032;-0.2458
1060;NA;0.9083;2.2465;-0.4298;0.3003;0.8507;-0.2983
1061;NA;0.0074;1.3455;-1.3308;0.2451;0.7931;-0.3558
1062;NA;-0.0318;1.3063;-1.37;0.1632;0.7367;-0.4122
1063;NA;0.1557;1.4939;-1.1824;0.0373;0.6576;-0.4914
1064;NA;0.5492;1.8873;-0.789;-0.091;0.5415;-0.6074
1065;NA;-0.4586;0.8796;-1.7968;-0.1804;0.4098;-0.7391
1066;NA;-0.3365;1.0016;-1.6747;-0.2569;0.2835;-0.8654
1067;NA;-0.6306;0.7076;-1.9687;-0.3526;0.1839;-0.965
1068;NA;-0.4387;0.8994;-1.7769;-0.4356;0.1321;-1.0169
1069;NA;-0.7325;0.6056;-2.0707;-0.4738;0.1287;-1.0202
1070;NA;-0.5847;0.7535;-1.9228;-0.4568;0.155;-0.994
1071;NA;-0.4026;0.9355;-1.7408;-0.4076;0.2027;-0.9462
1072;NA;0.139;1.4772;-1.1991;-0.3446;0.2637;-0.8852
1073;NA;-0.7882;0.5499;-2.1264;-0.286;0.3299;-0.8191
1074;NA;-0.9067;0.4315;-2.2448;-0.2022;0.393;-0.7559
1075;NA;-0.4516;0.8865;-1.7898;-0.0764;0.4812;-0.6678
1076;NA;0.3581;1.6963;-0.98;0.0539;0.6052;-0.5438
1077;NA;1.2567;2.5948;-0.0815;0.1513;0.731;-0.418
1078;NA;0.0828;1.421;-1.2553;0.2363;0.8247;-0.3243
1079;NA;0.611;1.9491;-0.7272;0.3384;0.9093;-0.2397
1080;NA;0.4897;1.8278;-0.8485;0.4337;1.0049;-0.1441
1081;NA;0.4831;1.8213;-0.8551;0.4985;1.073;-0.0759
1082;NA;0.4865;1.8247;-0.8516;0.5324;1.102;-0.0469
1083;NA;0.1647;1.5028;-1.1735;0.5516;1.1092;-0.0398
1084;NA;0.5355;1.8736;-0.8027;0.5572;1.0991;-0.0499
1085;NA;0.9433;2.2815;-0.3948;0.5503;1.0766;-0.0724
1086;NA;-0.0068;1.3313;-1.345;0.5164;1.0464;-0.1025
1087;NA;0.2273;1.5654;-1.1109;0.4542;1.0133;-0.1356
1088;NA;0.9783;2.3165;-0.3598;0.3844;0.9685;-0.1805
1089;NA;0.4881;1.8262;-0.8501;0.3274;0.9051;-0.2438
1090;NA;0.7806;2.1188;-0.5575;0.2698;0.8314;-0.3176
1091;NA;0.4348;1.773;-0.9033;0.1991;0.7551;-0.3938
1092;NA;-0.3982;0.94;-1.7363;0.1374;0.6844;-0.4646
1093;NA;-0.4553;0.8829;-1.7935;0.0637;0.6272;-0.5217
1094;NA;-0.3865;0.9516;-1.7247;-0.0363;0.5734;-0.5756
1095;NA;-0.1356;1.2026;-1.4737;-0.1301;0.5127;-0.6362
1096;NA;0.433;1.7712;-0.9051;-0.1851;0.4533;-0.6956
1097;NA;0.0478;1.386;-1.2904;-0.1996;0.4033;-0.7457
1098;NA;-0.284;1.0542;-1.6221;-0.1973;0.3707;-0.7782
1099;NA;-0.4744;0.8637;-1.8126;-0.1844;0.3637;-0.7853
1100;NA;0.1695;1.5076;-1.1687;-0.1669;0.3984;-0.7506
1101;NA;-0.892;0.4462;-2.2302;-0.1253;0.4672;-0.6818
