Nino 3 Index Reconstruction
---------------------------------------------------------------------
              World Data Center for Paleoclimatology, Boulder
                                and 
                   NOAA Paleoclimatology Program
---------------------------------------------------------------------
NOTE: PLEASE CITE ORIGINAL REFERENCES WHEN USING THIS DATA!!!!!

CONTRIBUTORS: Cook, E.R.
NAME OF DATA SET: Nino 3 Index Reconstruction


IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2000-052.

SUGGESTED DATA CITATION: Cook, E.R., 2000, 
Nino 3 Index Reconstruction.  International Tree-Ring Data Bank.  
IGBP PAGES/World Data Center-A for Paleoclimatology 
Data Contribution Series #2000-052.  
NOAA/NGDC Paleoclimatology Program, Boulder CO, USA.

ORIGINAL REFERENCE: Unpublished data.  In press for Geophys. Res. Letters (2005): 
D'Arrigo, R., E. Cook, R. Wilson, R. Allan and M. Mann. 
On the variability of ENSO over the past six centuries.


LAST UPDATE:  1/2005 (Improved description of methodology by R. D'Arrigo. Data series unchanged.)
GEOGRAPHIC REGION: Pacific Ocean 
PERIOD OF RECORD: 1408-1978 AD

DESCRIPTION:
Reconstruction of the Nino3 Index of El Nino-Southern Oscillation variability, 
for the months of December through February each year. 175 chronologies from 
the southwestern USA and Mexico were screened as potential predictors 
(lags t; t+1) of the instrumental Niño-3 data in principal component regression. 
Both the tree-ring and instrumental data were prewhitened using autoregressive 
modeling, with instrumental persistence added back in to the reconstruction. 
Series significantly correlated (> 0.05 level) with the instrumental record 
were used to reconstruct Niño-3 SSTs. A nested procedure (in which the number 
of chronologies declines back in time) was used to develop the longest possible 
reconstruction, with iterative nests beginning in 1408, 1507, 1608 and 1709. 
The final reconstruction was developed by averaging early and late calibration 
reconstructions within each nest, and splicing these series together after 
their variance and mean had been adjusted to that of the 1709-1978 nest. 
All chronologies were compiled from indices of tree growth (primarily ring width) 
detrended to remove biological trends (Cook 1985). 



Mean Recon: NINO3 DJF estimated index from Tex-Mex tree ring widths	

YEAR	MEAN RECON
1408	0.087
1409	0.354
1410	0.422
1411	-0.412
1412	0.96
1413	-0.294
1414	0.775
1415	-0.016
1416	-0.025
1417	-0.122
1418	-0.058
1419	-0.321
1420	-0.102
1421	-0.382
1422	-0.437
1423	-0.576
1424	0.644
1425	0.935
1426	0.155
1427	0.94
1428	0.701
1429	-0.076
1430	-0.128
1431	0.03
1432	0.535
1433	0.292
1434	-0.272
1435	0.073
1436	0.584
1437	-0.563
1438	-0.923
1439	0.349
1440	0.046
1441	0.84
1442	-0.433
1443	-0.373
1444	0.13
1445	-0.113
1446	-0.009
1447	-0.216
1448	-0.06
1449	2.003
1450	-0.19
1451	0.363
1452	-0.118
1453	-0.169
1454	0.206
1455	-0.527
1456	0.369
1457	-0.63
1458	0.619
1459	-0.116
1460	0.709
1461	0.023
1462	0.564
1463	-0.241
1464	-0.896
1465	-0.499
1466	0.377
1467	1.324
1468	-0.367
1469	-0.123
1470	-0.065
1471	-0.632
1472	0.1
1473	0.167
1474	-0.024
1475	-0.799
1476	-0.303
1477	0.373
1478	0.778
1479	-0.424
1480	-0.15
1481	0.581
1482	0.59
1483	-0.005
1484	1.197
1485	0.46
1486	1.006
1487	0.117
1488	-0.317
1489	0.624
1490	0.448
1491	-0.543
1492	0.517
1493	-0.163
1494	-0.533
1495	-0.955
1496	0.211
1497	-0.144
1498	1.046
1499	1.08
1500	-0.521
1501	-0.275
1502	0.148
1503	0.428
1504	0.256
1505	0.457
1506	-0.863
1507	0.587
1508	0.248
1509	0.258
1510	0.134
1511	0.859
1512	0.337
1513	0.167
1514	-0.128
1515	0.031
1516	-0.326
1517	-0.514
1518	0.546
1519	0.812
1520	0.712
1521	-0.133
1522	-0.696
1523	0.07
1524	-0.006
1525	0.022
1526	0.664
1527	0.435
1528	-0.44
1529	0.403
1530	0.657
1531	0.065
1532	-0.231
1533	-0.31
1534	0.443
1535	0.229
1536	0.424
1537	0.262
1538	-0.726
1539	0.935
1540	0.865
1541	-0.246
1542	-1.093
1543	0.24
1544	0.226
1545	0.259
1546	-0.521
1547	0.005
1548	0.027
1549	-0.073
1550	1.054
1551	0.389
1552	0.035
1553	0.653
1554	-0.04
1555	0.053
1556	0.755
1557	-0.14
1558	0.159
1559	0.032
1560	-0.559
1561	-0.206
1562	-0.046
1563	0.409
1564	0.218
1565	0.443
1566	-0.245
1567	-0.462
1568	0.077
1569	0.248
1570	0.349
1571	-0.204
1572	-0.135
1573	-0.627
1574	-0.084
1575	0.185
1576	-0.225
1577	0.132
1578	-0.111
1579	-0.833
1580	-0.419
1581	-0.003
1582	0.2
1583	0.2
1584	-0.928
1585	-0.285
1586	1.035
1587	0.161
1588	0.255
1589	-0.173
1590	-0.347
1591	0.091
1592	0.085
1593	-0.688
1594	0.985
1595	0.529
1596	-0.204
1597	0.152
1598	0.468
1599	0.193
1600	-0.471
1601	-0.213
1602	0.581
1603	0.539
1604	-0.038
1605	-0.034
1606	-0.033
1607	0.086
1608	0.605
1609	0.231
1610	1.054
1611	0.192
1612	-0.478
1613	-0.591
1614	0.381
1615	0.102
1616	0.013
1617	0.205
1618	0.857
1619	-0.142
1620	0.327
1621	0.794
1622	-0.011
1623	-0.594
1624	-0.379
1625	-0.294
1626	-0.481
1627	0.198
1628	0.264
1629	0.436
1630	0.426
1631	-0.311
1632	-0.075
1633	0.288
1634	0.515
1635	0.652
1636	0.5
1637	-0.435
1638	-0.219
1639	0.845
1640	0.839
1641	0.347
1642	0.438
1643	0.284
1644	0.397
1645	-0.388
1646	0.304
1647	0.467
1648	-0.502
1649	0.368
1650	0.371
1651	0.936
1652	0.369
1653	-0.854
1654	-0.712
1655	0.463
1656	0.888
1657	-0.041
1658	0.013
